
Active Connections

  Proto  Local Address          Foreign Address        State           PID
  TCP    192.168.1.178:55278    192.168.1.1:53         TIME_WAIT       0
  TCP    192.168.1.178:55280    34.149.66.163:443      ESTABLISHED     13948
  TCP    192.168.1.178:55392    192.168.1.1:53         TIME_WAIT       0
  TCP    192.168.1.178:55400    52.123.248.73:443      ESTABLISHED     4192
  TCP    192.168.1.178:55405    151.101.192.223:443    ESTABLISHED     5132
  TCP    192.168.1.178:55421    52.250.42.157:443      TIME_WAIT       0
  TCP    192.168.1.178:55422    52.250.42.157:443      TIME_WAIT       0
  TCP    192.168.1.178:55708    140.82.112.26:443      ESTABLISHED     18040
  TCP    192.168.1.178:55871    192.168.1.1:53         TIME_WAIT       0
  TCP    192.168.1.178:55907    192.168.1.1:53         TIME_WAIT       0
  TCP    192.168.1.178:56060    160.79.104.10:443      ESTABLISHED     22808
  TCP    192.168.1.178:56061    160.79.104.10:443      ESTABLISHED     22808
  TCP    192.168.1.178:56453    160.79.104.10:443      ESTABLISHED     20092
  TCP    192.168.1.178:56506    23.53.122.144:443      ESTABLISHED     43880
  TCP    192.168.1.178:56508    23.46.228.4:443        ESTABLISHED     43880
  TCP    192.168.1.178:56509    23.216.145.27:443      ESTABLISHED     43880
  TCP    192.168.1.178:56512    20.190.190.132:443     ESTABLISHED     29444
  TCP    192.168.1.178:56565    192.168.1.1:53         TIME_WAIT       0
  TCP    192.168.1.178:56708    35.190.46.17:443       ESTABLISHED     28772
  TCP    192.168.1.178:56727    160.79.104.10:443      ESTABLISHED     41472
  TCP    192.168.1.178:56728    160.79.104.10:443      ESTABLISHED     41472
  TCP    192.168.1.178:56866    160.79.104.10:443      ESTABLISHED     39644
  TCP    192.168.1.178:56869    35.190.46.17:443       ESTABLISHED     36684
  TCP    192.168.1.178:56943    160.79.104.10:443      ESTABLISHED     41384
  TCP    192.168.1.178:57117    160.79.104.10:443      ESTABLISHED     32760
  TCP    192.168.1.178:57155    57.144.217.32:5222     ESTABLISHED     24824
  TCP    192.168.1.178:57159    151.101.192.223:443    ESTABLISHED     5132
  TCP    192.168.1.178:57164    104.18.124.108:443     ESTABLISHED     29232
  TCP    192.168.1.178:57210    48.216.185.246:443     ESTABLISHED     21652
  TCP    192.168.1.178:57447    23.40.175.254:443      ESTABLISHED     11012
  TCP    192.168.1.178:57661    140.82.113.26:443      ESTABLISHED     18040
  TCP    192.168.1.178:57701    160.79.104.10:443      ESTABLISHED     41472
  TCP    192.168.1.178:57702    160.79.104.10:443      ESTABLISHED     41472
  TCP    192.168.1.178:57725    160.79.104.10:443      ESTABLISHED     14288
  TCP    192.168.1.178:57889    160.79.104.10:443      ESTABLISHED     40520
  TCP    192.168.1.178:58015    160.79.104.10:443      ESTABLISHED     38740
  TCP    192.168.1.178:58017    192.168.1.1:53         TIME_WAIT       0
  TCP    192.168.1.178:58018    160.79.104.10:443      ESTABLISHED     38740
  TCP    192.168.1.178:58020    160.79.104.10:443      ESTABLISHED     38740
  TCP    192.168.1.178:58034    160.79.104.10:443      ESTABLISHED     38740
  TCP    192.168.1.178:58035    34.149.66.165:443      ESTABLISHED     38740
  TCP    192.168.1.178:58036    160.79.104.10:443      ESTABLISHED     47416
  TCP    192.168.1.178:58044    35.190.46.17:443       ESTABLISHED     38740
  TCP    192.168.1.178:58263    35.190.46.17:443       ESTABLISHED     41472
  TCP    192.168.1.178:58370    160.79.104.10:443      ESTABLISHED     37252
  TCP    192.168.1.178:58584    48.214.187.162:443     ESTABLISHED     4192
  TCP    192.168.1.178:58590    160.79.104.10:443      ESTABLISHED     21300
  TCP    192.168.1.178:58591    192.168.1.1:53         TIME_WAIT       0
  TCP    192.168.1.178:58629    172.217.118.4:443      ESTABLISHED     50336
  TCP    192.168.1.178:58646    18.97.36.49:443        ESTABLISHED     18040
  TCP    192.168.1.178:58713    160.79.104.10:443      ESTABLISHED     13948
  TCP    192.168.1.178:58714    160.79.104.10:443      ESTABLISHED     13948
  TCP    192.168.1.178:58715    160.79.104.10:443      ESTABLISHED     13948
  TCP    192.168.1.178:58716    160.79.104.10:443      ESTABLISHED     13948
  TCP    192.168.1.178:58845    160.79.104.10:443      ESTABLISHED     35152
  TCP    192.168.1.178:59057    192.168.1.1:53         TIME_WAIT       0
  TCP    192.168.1.178:59189    160.79.104.10:443      ESTABLISHED     6988
  TCP    192.168.1.178:59246    160.79.104.10:443      ESTABLISHED     10524
  TCP    192.168.1.178:59249    160.79.104.10:443      ESTABLISHED     41472
  TCP    192.168.1.178:59250    160.79.104.10:443      ESTABLISHED     41472
  TCP    192.168.1.178:59251    160.79.104.10:443      ESTABLISHED     41472
  TCP    192.168.1.178:59252    160.79.104.10:443      ESTABLISHED     41472
  TCP    192.168.1.178:59260    160.79.104.10:443      ESTABLISHED     41472
  TCP    192.168.1.178:59280    160.79.104.10:443      ESTABLISHED     13948
  TCP    192.168.1.178:59733    160.79.104.10:443      ESTABLISHED     31788
  TCP    192.168.1.178:59947    170.114.2.76:443       ESTABLISHED     50336
  TCP    192.168.1.178:59982    160.79.104.10:443      ESTABLISHED     11136
  TCP    192.168.1.178:60142    160.79.104.10:443      ESTABLISHED     40728
  TCP    192.168.1.178:60175    160.79.104.10:443      TIME_WAIT       0
  TCP    192.168.1.178:60176    192.168.1.1:53         TIME_WAIT       0
  TCP    192.168.1.178:60209    184.28.149.124:443     ESTABLISHED     5132
  TCP    192.168.1.178:60211    151.101.192.223:443    ESTABLISHED     5132
  TCP    192.168.1.178:60230    34.206.136.241:443     CLOSE_WAIT      29232
  TCP    192.168.1.178:60291    160.79.104.10:443      ESTABLISHED     41472
  TCP    192.168.1.178:60844    160.79.104.10:443      ESTABLISHED     40520
  TCP    192.168.1.178:61008    192.168.1.1:53         TIME_WAIT       0
  TCP    192.168.1.178:61062    160.79.104.10:443      ESTABLISHED     22808
  TCP    192.168.1.178:61063    160.79.104.10:443      ESTABLISHED     22808
  TCP    192.168.1.178:61150    160.79.104.10:443      ESTABLISHED     11136
  TCP    192.168.1.178:61158    160.79.104.10:443      ESTABLISHED     18232
  TCP    192.168.1.178:61287    192.168.1.1:53         TIME_WAIT       0
  TCP    192.168.1.178:61515    160.79.104.10:443      ESTABLISHED     36684
  TCP    192.168.1.178:61517    160.79.104.10:443      ESTABLISHED     36684
  TCP    192.168.1.178:61519    160.79.104.10:443      ESTABLISHED     36684
  TCP    192.168.1.178:61668    160.79.104.10:443      ESTABLISHED     13928
  TCP    192.168.1.178:61681    160.79.104.10:443      ESTABLISHED     22808
  TCP    192.168.1.178:61682    160.79.104.10:443      ESTABLISHED     22808
  TCP    192.168.1.178:61684    160.79.104.10:443      ESTABLISHED     22808
  TCP    192.168.1.178:61807    192.168.1.1:53         TIME_WAIT       0
  TCP    192.168.1.178:61818    192.168.1.1:53         TIME_WAIT       0
  TCP    192.168.1.178:61902    160.79.104.10:443      ESTABLISHED     18232
  TCP    192.168.1.178:62300    160.79.104.10:443      ESTABLISHED     32760
  TCP    192.168.1.178:62707    35.190.46.17:443       ESTABLISHED     21172
  TCP    192.168.1.178:62786    99.86.101.32:443       ESTABLISHED     18040
  TCP    192.168.1.178:62792    192.168.1.1:53         TIME_WAIT       0
  TCP    192.168.1.178:62975    160.79.104.10:443      ESTABLISHED     21172
  TCP    192.168.1.178:62977    160.79.104.10:443      ESTABLISHED     21172
  TCP    192.168.1.178:63482    35.190.46.17:443       ESTABLISHED     13948
  TCP    192.168.1.178:63493    192.168.1.1:53         TIME_WAIT       0
  TCP    192.168.1.178:63652    160.79.104.10:443      ESTABLISHED     47416
  TCP    192.168.1.178:63656    160.79.104.10:443      ESTABLISHED     13948
  TCP    192.168.1.178:63753    160.79.104.10:443      ESTABLISHED     7616
  TCP    192.168.1.178:63874    160.79.104.10:443      ESTABLISHED     10524
  TCP    192.168.1.178:63937    160.79.104.10:443      ESTABLISHED     28772
  TCP    192.168.1.178:63944    160.79.104.10:443      ESTABLISHED     28772
  TCP    192.168.1.178:63954    160.79.104.10:443      ESTABLISHED     28772
  TCP    192.168.1.178:63956    160.79.104.10:443      ESTABLISHED     36684
  TCP    192.168.1.178:64028    160.79.104.10:443      ESTABLISHED     20092
  TCP    192.168.1.178:64031    160.79.104.10:443      TIME_WAIT       0
  TCP    192.168.1.178:64048    162.159.130.234:443    ESTABLISHED     22352
  TCP    192.168.1.178:64071    192.168.1.1:53         TIME_WAIT       0
  TCP    192.168.1.178:64113    157.240.3.54:5222      TIME_WAIT       0
  TCP    192.168.1.178:64418    160.79.104.10:443      ESTABLISHED     28772
  TCP    192.168.1.178:64419    160.79.104.10:443      ESTABLISHED     28772
  TCP    192.168.1.178:64420    34.149.66.165:443      ESTABLISHED     28772
  TCP    192.168.1.178:64516    160.79.104.10:443      ESTABLISHED     27736
  TCP    192.168.1.178:64538    160.79.104.10:443      ESTABLISHED     22092
  TCP    192.168.1.178:64539    160.79.104.10:443      ESTABLISHED     7976
  TCP    192.168.1.178:64866    160.79.104.10:443      ESTABLISHED     40728
  TCP    192.168.1.178:65067    35.190.46.17:443       ESTABLISHED     22808
  TCP    192.168.1.178:65069    34.149.66.165:443      ESTABLISHED     13948
  TCP    192.168.1.178:65165    170.114.52.36:443      ESTABLISHED     50336
  TCP    192.168.1.178:65201    160.79.104.10:443      ESTABLISHED     35152
  TCP    192.168.1.178:65266    170.114.52.83:443      ESTABLISHED     50336
  TCP    [::]:135               [::]:0                 LISTENING       2540
  TCP    [::]:445               [::]:0                 LISTENING       4
  TCP    [::]:4001              [::]:0                 LISTENING       26344
  TCP    [::]:7680              [::]:0                 LISTENING       5132
  TCP    [::]:49664             [::]:0                 LISTENING       2240
  TCP    [::]:49665             [::]:0                 LISTENING       2060
  TCP    [::]:49666             [::]:0                 LISTENING       2260
  TCP    [::]:49667             [::]:0                 LISTENING       4228
  TCP    [::]:49668             [::]:0                 LISTENING       5808
  TCP    [::]:49673             [::]:0                 LISTENING       2184
  TCP    [::1]:4001             [::1]:51217            ESTABLISHED     26344
  TCP    [::1]:4001             [::1]:51788            TIME_WAIT       0
  TCP    [::1]:4001             [::1]:52890            TIME_WAIT       0
  TCP    [::1]:4001             [::1]:54204            TIME_WAIT       0
  TCP    [::1]:4001             [::1]:55347            FIN_WAIT_2      26344
  TCP    [::1]:4001             [::1]:55404            TIME_WAIT       0
  TCP    [::1]:4001             [::1]:56474            TIME_WAIT       0
  TCP    [::1]:4001             [::1]:56505            TIME_WAIT       0
  TCP    [::1]:4001             [::1]:56821            TIME_WAIT       0
  TCP    [::1]:4001             [::1]:57472            FIN_WAIT_2      26344
  TCP    [::1]:4001             [::1]:58588            TIME_WAIT       0
  TCP    [::1]:4001             [::1]:58815            ESTABLISHED     26344
  TCP    [::1]:4001             [::1]:59047            TIME_WAIT       0
  TCP    [::1]:4001             [::1]:59119            TIME_WAIT       0
  TCP    [::1]:4001             [::1]:60036            TIME_WAIT       0
  TCP    [::1]:4001             [::1]:61700            TIME_WAIT       0
  TCP    [::1]:4001             [::1]:62634            TIME_WAIT       0
  TCP    [::1]:4001             [::1]:63704            TIME_WAIT       0
  TCP    [::1]:4001             [::1]:63742            TIME_WAIT       0
  TCP    [::1]:4001             [::1]:65164            TIME_WAIT       0
  TCP    [::1]:4022             [::]:0                 LISTENING       27324
  TCP    [::1]:4022             [::1]:49216            ESTABLISHED     27324
  TCP    [::1]:4022             [::1]:49745            ESTABLISHED     27324
  TCP    [::1]:4022             [::1]:50424            ESTABLISHED     27324
  TCP    [::1]:4022             [::1]:50876            ESTABLISHED     27324
  TCP    [::1]:4022             [::1]:52172            ESTABLISHED     27324
  TCP    [::1]:4022             [::1]:52176            ESTABLISHED     27324
  TCP    [::1]:4022             [::1]:52914            ESTABLISHED     27324
  TCP    [::1]:4022             [::1]:56735            ESTABLISHED     27324
  TCP    [::1]:4022             [::1]:56843            ESTABLISHED     27324
  TCP    [::1]:4022             [::1]:57510            ESTABLISHED     27324
  TCP    [::1]:4022             [::1]:57786            ESTABLISHED     27324
  TCP    [::1]:4022             [::1]:58220            ESTABLISHED     27324
  TCP    [::1]:4022             [::1]:58402            ESTABLISHED     27324
  TCP    [::1]:4022             [::1]:58404            ESTABLISHED     27324
  TCP    [::1]:4022             [::1]:58630            ESTABLISHED     27324
  TCP    [::1]:4022             [::1]:58632            ESTABLISHED     27324
  TCP    [::1]:4022             [::1]:58711            ESTABLISHED     27324
  TCP    [::1]:4022             [::1]:58818            ESTABLISHED     27324
  TCP    [::1]:4022             [::1]:59964            ESTABLISHED     27324
  TCP    [::1]:4022             [::1]:60214            ESTABLISHED     27324
  TCP    [::1]:4022             [::1]:60504            ESTABLISHED     27324
  TCP    [::1]:4022             [::1]:62278            ESTABLISHED     27324
  TCP    [::1]:4022             [::1]:62708            ESTABLISHED     27324
  TCP    [::1]:4022             [::1]:62971            ESTABLISHED     27324
  TCP    [::1]:4022             [::1]:63187            ESTABLISHED     27324
  TCP    [::1]:4022             [::1]:63191            ESTABLISHED     27324
  TCP    [::1]:4022             [::1]:63705            ESTABLISHED     27324
  TCP    [::1]:4022             [::1]:63709            ESTABLISHED     27324
  TCP    [::1]:4022             [::1]:63969            ESTABLISHED     27324
  TCP    [::1]:4022             [::1]:64114            ESTABLISHED     27324
  TCP    [::1]:4022             [::1]:64534            ESTABLISHED     27324
  TCP    [::1]:4022             [::1]:65073            ESTABLISHED     27324
  TCP    [::1]:5173             [::]:0                 LISTENING       25212
  TCP    [::1]:5173             [::1]:53073            ESTABLISHED     25212
  TCP    [::1]:35783            [::]:0                 LISTENING       16184
  TCP    [::1]:49216            [::1]:4022             ESTABLISHED     41412
  TCP    [::1]:49745            [::1]:4022             ESTABLISHED     47416
  TCP    [::1]:50424            [::1]:4022             ESTABLISHED     35152
  TCP    [::1]:50876            [::1]:4022             ESTABLISHED     36684
  TCP    [::1]:51217            [::1]:4001             ESTABLISHED     33348
  TCP    [::1]:52172            [::1]:4022             ESTABLISHED     38856
  TCP    [::1]:52176            [::1]:4022             ESTABLISHED     32760
  TCP    [::1]:52914            [::1]:4022             ESTABLISHED     21172
  TCP    [::1]:53073            [::1]:5173             ESTABLISHED     18040
  TCP    [::1]:55347            [::1]:4001             CLOSE_WAIT      33348
  TCP    [::1]:56511            [::1]:4022             TIME_WAIT       0
  TCP    [::1]:56735            [::1]:4022             ESTABLISHED     7616
  TCP    [::1]:56843            [::1]:4022             ESTABLISHED     7976
  TCP    [::1]:57156            [::1]:4022             TIME_WAIT       0
  TCP    [::1]:57472            [::1]:4001             CLOSE_WAIT      18040
  TCP    [::1]:57510            [::1]:4022             ESTABLISHED     22808
  TCP    [::1]:57786            [::1]:4022             ESTABLISHED     21300
  TCP    [::1]:58220            [::1]:4022             ESTABLISHED     40728
  TCP    [::1]:58402            [::1]:4022             ESTABLISHED     14288
  TCP    [::1]:58404            [::1]:4022             ESTABLISHED     14812
  TCP    [::1]:58589            [::1]:4022             TIME_WAIT       0
  TCP    [::1]:58630            [::1]:4022             ESTABLISHED     37252
  TCP    [::1]:58632            [::1]:4022             ESTABLISHED     33780
  TCP    [::1]:58711            [::1]:4022             ESTABLISHED     13948
  TCP    [::1]:58815            [::1]:4001             ESTABLISHED     18040
  TCP    [::1]:58818            [::1]:4022             ESTABLISHED     38740
  TCP    [::1]:59964            [::1]:4022             ESTABLISHED     18232
  TCP    [::1]:60214            [::1]:4022             ESTABLISHED     41472
  TCP    [::1]:60504            [::1]:4022             ESTABLISHED     31788
  TCP    [::1]:62278            [::1]:4022             ESTABLISHED     6988
  TCP    [::1]:62708            [::1]:4022             ESTABLISHED     39644
  TCP    [::1]:62971            [::1]:4022             ESTABLISHED     41384
  TCP    [::1]:63187            [::1]:4022             ESTABLISHED     20092
  TCP    [::1]:63191            [::1]:4022             ESTABLISHED     27736
  TCP    [::1]:63705            [::1]:4022             ESTABLISHED     13928
  TCP    [::1]:63709            [::1]:4022             ESTABLISHED     40520
  TCP    [::1]:63873            [::1]:4022             TIME_WAIT       0
  TCP    [::1]:63969            [::1]:4022             ESTABLISHED     40728
  TCP    [::1]:64114            [::1]:4022             ESTABLISHED     29784
  TCP    [::1]:64534            [::1]:4022             ESTABLISHED     22092
  TCP    [::1]:65073            [::1]:4022             ESTABLISHED     28772
  UDP    0.0.0.0:123            *:*                                    29076
  UDP    0.0.0.0:5050           *:*                                    11688
  UDP    0.0.0.0:5353           *:*                                    18040
  UDP    0.0.0.0:5353           *:*                                    1948
  UDP    0.0.0.0:5353           *:*                                    16280
  UDP    0.0.0.0:5353           *:*                                    18040
  UDP    0.0.0.0:5355           *:*                                    1948
  UDP    0.0.0.0:21119          *:*                                    7532
  UDP    0.0.0.0:49664          173.194.43.95:443                      18040
  UDP    0.0.0.0:50077          *:*                                    21652
  UDP    0.0.0.0:50434          *:*                                    7532
  UDP    0.0.0.0:53882          *:*                                    1948
  UDP    0.0.0.0:59556          172.217.113.4:443                      18040
  UDP    0.0.0.0:59870          *:*                                    18252
  UDP    0.0.0.0:59871          *:*                                    18252
  UDP    0.0.0.0:60721          *:*                                    50336
  UDP    0.0.0.0:60838          142.251.153.119:443                    18040
  UDP    0.0.0.0:62597          57.144.217.32:443                      24824
  UDP    0.0.0.0:62829          160.79.104.10:443                      18040
  UDP    0.0.0.0:63300          *:*                                    1948
  UDP    0.0.0.0:63513          *:*                                    1948
  UDP    127.0.0.1:1900         *:*                                    10328
  UDP    127.0.0.1:54796        *:*                                    10328
  UDP    127.0.0.1:55963        127.0.0.1:55963                        4452
  UDP    192.168.1.178:137      *:*                                    4
  UDP    192.168.1.178:138      *:*                                    4
  UDP    192.168.1.178:1900     *:*                                    10328
  UDP    192.168.1.178:2177     *:*                                    37860
  UDP    192.168.1.178:5353     *:*                                    50336
  UDP    192.168.1.178:54795    *:*                                    10328
  UDP    [::]:123               *:*                                    29076
  UDP    [::]:5353              *:*                                    1948
  UDP    [::]:50077             *:*                                    21652
  UDP    [::]:53882             *:*                                    1948
  UDP    [::]:60722             *:*                                    50336
  UDP    [::]:63300             *:*                                    1948
  UDP    [::]:63513             *:*                                    1948
  UDP    [::1]:1900             *:*                                    10328
  UDP    [::1]:5353             *:*                                    50336
  UDP    [::1]:54794            *:*                                    10328
